name,data_per_month,data_per_day,data_exhaustion_speed,call_minutes,text_messages,price_initial,mobile_carrier_id,cta_url
여유 100,100,0,,100,100,3300,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 비기닝,200,0,,60,60,4400,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 777,700,0,,70,70,4400,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 5500,0,0,,100,100,5500,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유LTE300분(1G),1000,0,,300,100,5500,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 USIM 1GB,1000,0,,50,0,6600,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유LTE300분(3G),3000,0,,300,100,7700,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 8800,500,0,,150,50,8800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y안심100,100,0,400,100,100,8800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 200,0,0,,200,200,8800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 이코노미,700,0,,100,50,9900,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y PLUS1,2000,0,,100,50,9900,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유LTE300분(5G),5000,0,,300,100,12100,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 LTE 3G,3000,0,,150,100,18700,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 LTE 5G,5000,0,,200,100,24200,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y데이터1GB+1Mbps,1000,0,1000,-1,-1,9900,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y데이터4.5GB+1Mbps,4500,0,1000,-1,-1,14300,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
여유 음성 타깃 300M",300,0,,-1,300,16500,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
Y음성데이터1.3G+",1300,0,1000,-1,-1,18000,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
Y데이터6GB+1Mbps",6000,0,1000,-1,-1,18700,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
Y데이터7GB+1Mbps",7000,0,1000,-1,-1,19800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
여유 음성 타깃 1.3G",1300,0,,-1,500,19800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
Y 안심데이터44",2500,0,400,-1,-1,25300,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
Y 안심데이터49",3500,0,1000,-1,-1,30800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
Y 안심데이터59",6600,0,1000,-1,-1,38500,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
여유 유심데이터타깃 11G+",11000,2000,3000,-1,-1,42900,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
Y 안심데이터69",0,5000,5000,-1,-1,48400,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y 5G 700MB,700,0,,100,50,8800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y 5G 3GB,3000,0,,200,50,14300,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
5G 여유 라이트플러스",12000,0,1000,-1,-1,33000,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
5G 여유 스탠다드",150000,0,5000,-1,-1,49000,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
"U+결합가능요금제
5G 여유 스페셜",180000,0,10000,-1,-1,63500,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y 100분 1G+1Mbps,1000,0,1000,100,100,5500,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y 200분 2.5G+1Mbps,2500,0,1000,200,100,8800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y안심1G(100분),1000,0,,100,50,8800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y 250분 2.5G+1Mbps,2500,0,1000,250,250,9900,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y안심2G(150분),2000,0,,150,50,11000,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y안심데이터5G(100분),5000,0,,100,0,13200,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
Y안심4G(200분),4000,0,,200,50,16500,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
