name,data_per_month,data_per_day,data_exhaustion_speed,call_minutes,text_messages,price_initial,mobile_carrier_id,cta_url
여유 K USIM 500MB,500,0,,50,0,3850,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 비기닝,200,0,,60,60,4400,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 베이직,0,0,,100,100,5500,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K USIM 1G,1000,0,,100,0,6600,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 100M+,100,0,400,50,50,8800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 모두다 도넛 2.5GB,2500,0,,100,0,9900,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 1.5G,1500,0,,200,200,16500,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유KLTE알뜰3G,3000,0,,200,100,17600,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 33,3000,0,,180,180,18700,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유KLTE알뜰5G,5000,0,,200,100,20900,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 음성안심 1.5G,1500,0,,-1,-1,9900,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 음성안심 4G,4000,0,,-1,-1,15400,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유K 모두안심1G+,1000,0,1000,-1,-1,19800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 데이터 타깃 1GB,1000,0,,-1,-1,218902416390,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 음성안심 8G,8000,0,,-1,-1,22000,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 데이터 타깃 2GB,2000,0,,-1,-1,251902418590,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 데이터 톡,3000,0,1000,-1,-1,27520,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 데이터 타깃 3GB,3000,0,,-1,-1,284902421890,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 음성안심 12G,12000,0,,-1,-1,29700,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 데이터 타깃 6GB,6000,0,,-1,-1,339902426290,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유K 모두안심 10G+,11000,2000,3000,-1,-1,36300,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 음성안심 16G,16000,0,,-1,-1,36300,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 데이터 타깃 15GB+,15000,2000,3000,-1,-1,449902439490,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 데이터비디오,100000,0,5000,-1,-1,47300,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 데이터 타깃 30GB+,30000,2000,5000,-1,-1,702902463690,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
5G 여유 K 슬림,8000,0,1000,-1,-1,41800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
5G 여유 K 스페셜,200000,0,10000,-1,-1,66000,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K LTE 1GB+,1000,0,1000,100,100,15400,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K LTE 3GB+,3000,0,,100,100,231002417600,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K LTE 6GB+,6000,0,,100,100,264002419800,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 오피스 15GB+,15000,0,3000,100,100,27500,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
여유 K 데이터안심15G+,15000,0,3000,-1,300,29700,10,https://www.yytelecom.co.kr/TelePaymentCtrls/RateListAll/telecom_type:lg
