name,data_per_month,data_per_day,data_exhaustion_speed,call_minutes,text_messages,price_initial,mobile_carrier_id,cta_url
모두다 맘껏 7GB++,7000,0,1000,-1,-1,18700,11,https://www.ktmmobile.com/rate/rateList.do
모두다 맘껏 11GB++,11000,2000,3000,-1,-1,33900,11,https://www.ktmmobile.com/rate/rateList.do
모두다 맘껏 12GB+,12000,0,1000,-1,-1,29900,11,https://www.ktmmobile.com/rate/rateList.do
모두다 맘껏 일 5GB++,0,5000,5000,-1,-1,38900,11,https://www.ktmmobile.com/rate/rateList.do
모두다 맘껏 100GB++,100000,0,5000,-1,-1,39600,11,https://www.ktmmobile.com/rate/rateList.do
모두다 맘껏 안심+,0,0,400,-1,-1,8900,11,https://www.ktmmobile.com/rate/rateList.do
모두다 맘껏 안심 1.5GB+,1500,0,400,-1,-1,10900,11,https://www.ktmmobile.com/rate/rateList.do
모두다 맘껏 안심 2.5GB+,2500,0,400,-1,-1,12900,11,https://www.ktmmobile.com/rate/rateList.do
모두다 맘껏 안심 4.5GB+,4500,0,400,-1,-1,14900,11,https://www.ktmmobile.com/rate/rateList.do
모두다 맘껏 안심 5.4GB+,5400,0,400,-1,-1,16300,11,https://www.ktmmobile.com/rate/rateList.do
모두다 맘껏 안심 6GB+,6000,0,400,-1,-1,16900,11,https://www.ktmmobile.com/rate/rateList.do
모두다 맘껏 안심 8GB+,8000,0,400,-1,-1,18900,11,https://www.ktmmobile.com/rate/rateList.do
모두다 맘껏 안심 10GB+,10000,0,400,-1,-1,20900,11,https://www.ktmmobile.com/rate/rateList.do
통화 맘껏 4.5GB,4500,0,,-1,-1,11900,11,https://www.ktmmobile.com/rate/rateList.do
통화 맘껏 5.4GB,5400,0,,-1,-1,15200,11,https://www.ktmmobile.com/rate/rateList.do
통화 맘껏 6.5GB,6500,0,,-1,-1,13900,11,https://www.ktmmobile.com/rate/rateList.do
통화 맘껏 10GB,10000,0,,-1,-1,16900,11,https://www.ktmmobile.com/rate/rateList.do
통화 맘껏 15GB,15000,0,,-1,-1,21900,11,https://www.ktmmobile.com/rate/rateList.do
데이터 맘껏 15GB+/100분+,15000,0,3000,-1,100,25300,11,https://www.ktmmobile.com/rate/rateList.do
데이터 맘껏 2.2GB+/100분,2200,0,1000,100,100,14000,11,https://www.ktmmobile.com/rate/rateList.do
데이터 맘껏 5GB+/100분,5000,0,1000,100,100,16800,11,https://www.ktmmobile.com/rate/rateList.do
데이터 맘껏 12GB+/100분,12000,0,1000,100,100,21800,11,https://www.ktmmobile.com/rate/rateList.do
데이터 맘껏 10GB+/180분,10000,0,1000,180,180,21000,11,https://www.ktmmobile.com/rate/rateList.do
데이터 맘껏 15GB+/300분,15000,0,3000,-1,300,27500,11,https://www.ktmmobile.com/rate/rateList.do
데이터 맘껏 안심 2.2GB+/100분,2200,0,400,100,100,11900,11,https://www.ktmmobile.com/rate/rateList.do
데이터 맘껏 안심 1GB+/300분,1000,0,400,300,100,10900,11,https://www.ktmmobile.com/rate/rateList.do
데이터 맘껏 안심 3GB+/300분,3000,0,400,300,100,12900,11,https://www.ktmmobile.com/rate/rateList.do
데이터 맘껏 안심 5GB+/100분,5000,0,400,100,100,14500,11,https://www.ktmmobile.com/rate/rateList.do
데이터 충분 3.5GB/150분,3500,0,,150,0,10800,11,https://www.ktmmobile.com/rate/rateList.do
데이터 충분 3.5GB/200분,3500,0,,200,50,11800,11,https://www.ktmmobile.com/rate/rateList.do
데이터 충분 5GB/50분,5000,0,,50,50,11800,11,https://www.ktmmobile.com/rate/rateList.do
데이터 충분 5GB/100분,5000,0,,100,50,12800,11,https://www.ktmmobile.com/rate/rateList.do
데이터 충분 5GB/150분,5000,0,,150,0,13800,11,https://www.ktmmobile.com/rate/rateList.do
데이터 충분 5GB/200분,5000,0,,200,50,14800,11,https://www.ktmmobile.com/rate/rateList.do
데이터 많이 5GB/100분,5000,0,,100,100,13500,11,https://www.ktmmobile.com/rate/rateList.do
데이터 많이 10GB/180분,10000,0,,180,180,17900,11,https://www.ktmmobile.com/rate/rateList.do
데이터 많이 12GB/100분,12000,0,,100,100,18500,11,https://www.ktmmobile.com/rate/rateList.do
L.POINT 10GB(USIM),10000,0,,100100,100,24200,11,https://www.ktmmobile.com/rate/rateList.do
