name,data_per_month,data_per_day,data_exhaustion_speed,call_minutes,text_messages,price_initial,mobile_carrier_id,cta_url
나라사랑 LTE 일반(신),11000,2000,3000,-1,-1,25400,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=01&prodGrpCd=U06
나라사랑 LTE 직업군인(신),11000,2000,3000,-1,-1,25400,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=01&prodGrpCd=U06
나라사랑 LTE 직업군인가족(신),11000,2000,3000,-1,-1,25400,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=01&prodGrpCd=U06
LTE 무제한 11GB+(LGU+망),11000,2000,3000,-1,-1,25900,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=01&prodGrpCd=U15
공무원든든 LTE(신),11000,2000,3000,-1,-1,25900,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=01&prodGrpCd=U12
선생님든든 LTE(신),11000,2000,3000,-1,-1,25900,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=01&prodGrpCd=U12
무궁화 LTE(신),11000,2000,3000,-1,-1,25900,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=01&prodGrpCd=U12
청년희망 LTE 11GB+(Ⅲ),11000,2000,3000,-1,-1,25900,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=01&prodGrpCd=U19
반려행복 LTE,11000,2000,3000,-1,-1,29700,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=01&prodGrpCd=U14
5G 든든무제한 12GB+,12000,0,1000,-1,-1,30500,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=01&prodGrpCd=U16
LTE 무제한 11GB+(KT망),11000,2000,3000,-1,-1,31100,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=02&prodGrpCd=K01
5G무제한 10GB+(KT망),10000,0,1000,-1,-1,33100,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=02&prodGrpCd=K07
LTE 무제한 11GB+(왓챠)(KT망),11000,2000,3000,-1,-1,34100,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=02&prodGrpCd=K01
LTE 무제한 11GB+(SKT망),11000,2000,3000,-1,-1,34100,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=03&prodGrpCd=S02
LTE 무제한 11GB+(NPay)(KT망),11000,2000,3000,-1,-1,35100,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=02&prodGrpCd=K01
LTE 무제한 11GB+(배달의민족)(KT망),11000,2000,3000,-1,-1,35100,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=02&prodGrpCd=K01
5G 무제한 11GB+(SKT망),11000,0,1000,-1,-1,35200,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=03&prodGrpCd=S03
LTE 무제한 11GB+(지니뮤직)(KT망),11000,2000,3000,-1,-1,35600,12,https://www.liivm.com/info/rateplan/rateplan/infoProdDetail?soId=02&prodGrpCd=K01
