name,data_per_month,data_per_day,data_exhaustion_speed,call_minutes,text_messages,price_initial,mobile_carrier_id,cta_url
DATA 걱정없는 유심 1GB,1000,,,-1,-1,7500,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
DATA 걱정없는 유심 2.5GB,2500,,,-1,-1,25100,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
DATA 걱정없는 유심 4.5GB,4500,,,-1,-1,13900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
DATA 걱정없는 유심 5GB,5000,,,-1,-1,15900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
DATA 걱정없는 유심 6GB,6000,,,-1,-1,16900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
DATA 걱정없는 유심 7GB,7000,,,-1,-1,17500,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
DATA 걱정없는 유심 10GB,10000,,,-1,-1,26900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
DATA 걱정없는 유심 일5GB,0,5000,,-1,-1,41500,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
The 착한 데이터 유심 11GB,11000,,,-1,-1,33990,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
The 착한 데이터 유심 1.3GB,1300,,,-1,-1,6990,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
The 착한 데이터 유심 2.5GB,2500,,,-1,-1,7800,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
The 착한 데이터 유심 3.6GB,3600,,,-1,-1,8900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
The 착한 데이터 유심 9GB 3000분,9000,,,3000,1000,14900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
보편 유심 3.5GB 150분,3500,,,150,100,8500,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
보편 유심 5GB 100분,5000,,,100,50,9500,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
보편 유심 5GB 200분,5000,,,200,100,9900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
보편 안심 유심 1GB 100분,1000,,,100,100,7900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
슬림 안심 유심 2.5GB 200분,2500,,,200,100,10500,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
슬림 안심 유심 2.5GB 250분,2500,,,250,250,11200,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
보편 안심 유심 3GB 200분,3000,,,200,100,12500,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
보편 안심 유심 5GB 100분,5000,,,100,100,13500,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
보편 안심 유심 5GB 200분,5000,,,200,100,13900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
보편 안심 유심 6GB 200분,6000,,,200,100,15200,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
보편 안심 유심 10GB 100분,10000,,,100,100,17500,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
보편 안심 유심 10GB 200분,10000,,,200,100,18900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
보편 안심 유심 15GB 100분,15000,,,1001,100,28820,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
CU 유심 1.5GB 150분,1500,,,150,150,5500,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
CU 유심 2GB 100분,2000,,,100,100,5940,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
CU 유심 3GB 250분,3000,,,250,100,7700,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
CU 유심 7GB 180분,7000,,,180,100,16800,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
CU 유심 10GB 100분,10000,,,100,100,20900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
CU 유심 10GB 180분,10000,,,180,180,22900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
CU 안심 유심 5GB 100분,5000,,,100,100,14900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
CU 안심 유심 10GB 200분,10000,,,200,100,18900,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
CU 안심 유심 11GB,11000,,,-1,-1,33990,14,https://mobile.lghellovision.net/mv_Client/rate/rate_01_01_list.asp?PType=USIM&Telecom=ALL
