name,data_per_month,data_per_day,data_exhaustion_speed,call_minutes,text_messages,price_initial,mobile_carrier_id,cta_url
LTE 유심 (100GB+/통화맘껏),100000,,,-1,-1,42350,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (11GB+/통화맘껏),11000,,,-1,-1,38500,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (15GB+/100분),15000,,,100,100,28600,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (7GB+/통화맘껏),7000,,,-1,-1,22000,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 안심 (10GB+/1000분),10000,,,1000,1000,19800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 안심 (5GB+/1000분),5000,,,1000,1000,14300,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (5GB+/200분),5000,,,200,100,13750,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (3GB+/200분),3000,,,200,100,12100,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 안심 (2GB+/1000분),2000,,,1000,1000,10120,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (10GB/2000분),10000,,,2000,2000,16940,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (6GB/2000분),6000,,,2000,2000,10890,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (4GB/2000분),4000,,,2000,2000,10450,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (2GB/2000분),2000,,,2000,2000,6930,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (10GB/100분),10000,,,100,100,13750,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (5GB/100분),5000,,,100,100,11000,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (3GB/200분),3000,,,200,100,9900,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (3GB/100분),3000,,,100,100,8250,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (1GB/200분),1000,,,200,100,6600,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (1GB/100분),1000,,,100,100,3960,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (1GB/50분),1000,,,50,50,3300,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 유심 (500MB/60분),500,,,60,50,2200,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
10% 포인트 (11GB+/통화맘껏),11000,,,-1,-1,42240,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
10% 포인트 (15GB+/100분),15000,,,100,100,31350,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
10% 포인트 (7GB+/통화맘껏),7000,,,-1,-1,24200,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
10% 포인트 (6GB/200분),6000,,,200,100,19800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
10% 포인트 (10GB/2000분),10000,,,2000,2000,18590,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
10% 포인트 (4GB/200분),4000,,,200,100,16500,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
10% 포인트 (5GB+/200분),5000,,,200,100,15180,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
10% 포인트 (3GB+/200분),3000,,,200,100,13310,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
10% 포인트 (2GB/200분),2000,,,200,100,11000,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
교보 eBook (11GB+/통화맘껏),11000,,,-1,-1,40700,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
FLO 유심 (11GB+/통화맘껏),11000,,,-1,-1,39600,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
취향저격 딜리버리 (11GB+/통화맘껏),11000,,,-1,-1,40700,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
취향저격 베이커리 (11GB+/통화맘껏),11000,,,-1,-1,40700,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
취향저격 아슈크림 (11GB+/통화맘껏),11000,,,-1,-1,40700,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
취향저격 올리브영 (11GB+/통화맘껏),11000,,,-1,-1,40700,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
취향저격 카페타임 (11GB+/통화맘껏),11000,,,-1,-1,40700,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
취향저격 편의생활 (11GB+/통화맘껏),11000,,,-1,-1,40700,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
취향저격 딜리버리 (15GB+/100분),15000,,,100,100,30800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
취향저격 베이커리 (15GB+/100분),15000,,,100,100,30800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
취향저격 아슈크림 (15GB+/100분),15000,,,100,100,30800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
취향저격 올리브영 (15GB+/100분),15000,,,100,100,30800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
취향저격 카페타임 (15GB+/100분),15000,,,100,100,30800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
취향저격 편의생활 (15GB+/100분),15000,,,100,100,30800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 유심 (200GB+/통화맘껏),200000,,,-1,-1,52800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 유심 (110GB+/통화맘껏),110000,,,-1,-1,44550,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 유심 (24GB+/통화맘껏),24000,,,-1,-1,37400,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 유심 (11GB+/통화맘껏),11000,,,-1,-1,35750,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 유심 (8GB+/통화맘껏),8000,,,-1,-1,30800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 유심 (9GB/1000분),9000,,,1000,100,19800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 유심 (7GB/1000분),7000,,,1000,100,16500,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 유심 (5GB/1000분),5000,,,1000,100,13200,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 유심 (1GB/500분),1000,,,500,100,7920,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
중나 유심 (11GB+/통화맘껏),11000,,,-1,-1,38500,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
중나 유심 15GB+,15000,,,100,100,28600,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
중나 유심 (7GB+/통화맘껏),7000,,,-1,-1,22000,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
중나 유심 (10GB/2000분),10000,,,2000,2000,16940,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
중나 유심 (5GB+/200분),5000,,,200,100,13750,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
중나 유심 (3GB+/200분),3000,,,200,100,12100,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
중나 유심 (4GB/2000분),4000,,,2000,2000,10450,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
중나 유심 (2GB/2000분),2000,,,2000,2000,6930,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
