name,data_per_month,data_per_day,data_exhaustion_speed,call_minutes,text_messages,price_initial,mobile_carrier_id,cta_url
LTE 온라인 데이터 S6,5000,,,100,0,31900,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 데이터 S5,4000,,,100,0,28600,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 데이터 S4,3000,,,80,0,25300,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 데이터 S3,2000,,,80,0,20900,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 데이터 S2,1000,,,60,0,17600,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 데이터 S1,500,,,60,0,14300,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 6GB,6000,,,150,50,38500,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 4.5GB,4500,,,150,50,33000,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 3GB,3000,,,120,50,27500,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 2GB,2000,,,80,50,22000,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 1GB,1000,,,50,0,16500,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 500MB,500,,,30,0,11000,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 베이직,100,,,-1,100,16500,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 음성 S6,1000,,,240,50,26400,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 음성 S5,500,,,180,50,23100,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 음성 S4,300,,,150,50,19800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 음성 S3,300,,,120,50,16500,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 음성 S2,100,,,90,50,13200,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 온라인 음성 S1,100,,,60,50,9900,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
데이터중심11GB_LTE,11000,,,-1,-1,62700,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
데이터중심6.5GB_LTE,6500,,,-1,-1,52800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
데이터중심3.5GB_LTE,3500,,,-1,-1,48400,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
데이터중심2.2GB_LTE,2200,,,-1,-1,42900,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
데이터중심1.2GB_LTE,1200,,,-1,-1,36300,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
데이터중심300MB_LTE,300,,,-1,-1,31790,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 하이 공부 Level 2,0,,,85,1850,28600,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 하이 공부 Level 1,0,,,55,1250,23100,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G (200GB+),200000,,,-1,-1,71500,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G (11GB+),11000,,,-1,-1,49500,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 온라인 (9GB/1000분),9000,,,1000,100,36300,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 온라인 (6GB/1000분),6000,,,1000,100,30800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 온라인 (3GB/1000분),3000,,,1000,100,25300,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 온라인 (2GB/100분),2000,,,100,100,19800,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 온라인 (1GB/100분),1000,,,100,100,17600,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
5G 온라인 (500MB/100분),500,,,100,100,13200,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
LTE 복지 데이터 (5GB/100분),5000,,,100,0,24420,15,https://www.sk7mobile.com/prod/data/callingPlanList.do?refCode=USIM
