name,data_per_month,data_per_day,data_exhaustion_speed,call_minutes,text_messages,price_initial,mobile_carrier_id,cta_url
데이터무한7GB+[블라이스 셀렉트],7000,,1000,300,-1,19800,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL22BS559&search=sn1%3D2%26sn2%3D1%26page%3D1
WELL ON 비디오,100000,,5000,300,-1,42900,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL19AS363&search=sn1%3D2%26sn2%3D1%26page%3D1
무한가성비 12(+2GB이벤트),250,,1000,100,100,12100,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL20CS650&search=sn1%3D2%26sn2%3D1%26page%3D1
WELL 5G 슬림,10000,,1000,300,-1,37000,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL19BE477&search=sn1%3D2%26sn2%3D1%26page%3D1
5G 가성비,2000,,,50,50,7700,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL20CS648&search=sn1%3D2%26sn2%3D1%26page%3D1
음성 기본 7GB+1Mbps,7000,,1000,300,-1,16500,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=LPZ0019100&search=sn1%3D2%26sn2%3D1%26page%3D1
WELL50분+2GB,2000,,,50,50,5500,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=LPZ0019104&search=sn1%3D2%26sn2%3D1%26page%3D1
WELL50분+5GB,5000,,,50,50,11000,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=LPZ0019101&search=sn1%3D2%26sn2%3D1%26page%3D1
[U+]WELL250분+600MB,600,,,250,50,4400,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=LPZ0019102&search=sn1%3D2%26sn2%3D1%26page%3D1
순광대역안심무한330,15000,,3000,100,100,28600,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=WLLANS330&search=sn1%3D2%26sn2%3D1%26page%3D1
공유 120분,0,,,120,120,3300,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL2138135&search=sn1%3D2%26sn2%3D1%26page%3D2
공유 240분,0,,,240,240,4950,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL2138136&search=sn1%3D2%26sn2%3D1%26page%3D2
Well알165,750,,,34000,20000,16500,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=WELTEA165&search=sn1%3D2%26sn2%3D1%26page%3D2
Well알132,300,,,20000,20000,13200,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=WELTEA132&search=sn1%3D2%26sn2%3D1%26page%3D2
[KT]WELL 250분+600MB,600,,,250,50,4400,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL222O249&search=sn1%3D2%26sn2%3D1%26page%3D2
무한가성비 15,750,,1000,160,200,15400,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL20CS651&search=sn1%3D2%26sn2%3D1%26page%3D2
시니어무한 4G+,4000,,1000,30,-1,24000,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL221O960&search=sn1%3D2%26sn2%3D1%26page%3D2
시니어무한 8G+,8000,,1000,30,-1,30000,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL221O956&search=sn1%3D2%26sn2%3D1%26page%3D2
시니어무한 2G,2000,,400,30,-1,12100,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL204O375&search=sn1%3D2%26sn2%3D1%26page%3D2
시니어무한 4G,4000,,400,30,-1,17600,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL204O376&search=sn1%3D2%26sn2%3D1%26page%3D2
시니어알뜰 55,500,,,100,100,5500,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL206U682&search=sn1%3D2%26sn2%3D1%26page%3D3
시니어알뜰 99,500,,400,300,300,9900,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL204O377&search=sn1%3D2%26sn2%3D1%26page%3D3
K 무한,250,,1000,-1,-1,15400,16,https://www.idowell.co.kr/home/contents.php?sn1=2&sn2=1&spn=view&no=PL2124865&search=sn1%3D2%26sn2%3D1%26page%3D3
