name,data_per_month,data_per_day,data_exhaustion_speed,call_minutes,text_messages,price_initial,mobile_carrier_id,cta_url
모빙 200분/2GB,2000,0,,200,100,0,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00143
실속 100분3GB,3000,0,,100,100,0,17,https://www.mobing.co.kr/product/plan/view?planID=LPZ0017080
실속 90분1.5GB,1500,0,,90,30,0,17,https://www.mobing.co.kr/product/plan/view?planID=LPZ0017340
실속 50분2GB,2000,0,,50,50,0,17,https://www.mobing.co.kr/product/plan/view?planID=LPZ0017336
모빙(100분/3GB),3000,0,,100,100,0,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00113
모빙 100분1GB,1000,0,,100,100,900,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00130
모빙(250분/5GB),5000,0,,250,250,990,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00114
모빙 200분7GB,7000,0,,200,200,1000,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00163
모빙 500분 7GB,7000,0,,500,500,1100,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00162
모빙 60분2GB,2000,0,,60,50,1500,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00182
모빙 80분2.2GB,2200,0,,80,50,1900,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00181
모빙 50분500MB,500,0,,50,50,2000,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00131
모빙 200분 10GB,10000,0,,200,200,2200,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00161
5G 모빙 200분3GB,3000,0,,200,200,2200,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00185
모빙 150분5.5GB,5500,0,,150,150,2200,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00133
모빙(50분/1.2GB),1200,0,,50,50,2500,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00116
실속 60분2GB,2000,0,,60,50,2700,17,https://www.mobing.co.kr/product/plan/view?planID=LPZ0019330
실속 80분2.2GB,2200,0,,80,50,2800,17,https://www.mobing.co.kr/product/plan/view?planID=LPZ0019327
실속 500분1GB,1000,0,,500,100,2900,17,https://www.mobing.co.kr/product/plan/view?planID=LPZ0019335
알뜰살뜰,0,0,,0,0,3190,17,https://www.mobing.co.kr/product/plan/view?planID=P075PSAV04
모빙 200분/2.5GB,2500,0,,200,100,3300,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00142
쏙쏙 복지 100분1GB,1000,0,,100,100,3300,17,https://www.mobing.co.kr/product/plan/view?planID=PL22AK284
모빙 복지 100분1GB,1000,0,,100,100,3300,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00178
실속 50분1.2GB,1200,0,,50,50,3300,17,https://www.mobing.co.kr/product/plan/view?planID=LPZ0017076
모빙 350분6GB,6000,0,,350,350,3300,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00129
모빙 500분 10GB,10000,0,,500,500,3300,17,https://www.mobing.co.kr/product/plan/view?planID=PC0LB00160
실속 100분2GB,2000,0,,100,50,3600,17,https://www.mobing.co.kr/product/plan/view?planID=LPZ0017337
실속 200분2GB,2000,0,,200,100,3600,17,https://www.mobing.co.kr/product/plan/view?planID=LPZ0017577
