name,data_per_month,data_per_day,data_exhaustion_speed,call_minutes,text_messages,price_initial,mobile_carrier_id,cta_url
내맘대로 (50분+2GB),2000,,,50,50,1100,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
안심무약정4,0,,,30,0,1980,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
안심무약정4,0,,,30,0,1980,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
이야기22(다이렉트),100,,,150,30,2200,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
우체국 (50분+30건),0,,,50,30,2640,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
내맘대로 (50분+0MB),0,,,50,50,2750,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
이야기데이터 1GB+,-1,,,100,100,2750,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
내맘대로 차단형 (50분+0MB),0,,,50,50,2750,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
이야기27,100,,,100,30,2750,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
내맘대로 (0분+500MB),500,,,0,0,3300,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
내맘대로 차단형 (0분+500MB),500,,,0,0,3300,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
이야기데이터 5GB+,-1,,,100,100,3300,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
이야기35,500,,,200,30,3520,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
우체국(100분+50건),0,,,100,50,3850,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
안심무약정3,0,,,40,10,3990,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
우체국 (120분+60건),0,,,120,60,3990,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
내맘대로S(100+6GB),6000,,,100,100,4400,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
이야기안심 5GB+,-1,,,-1,-1,4400,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
내맘대로 (100분+0MB),0,,,100,50,4750,19,https://www.eyagi.co.kr/shop/rate/findPriceType.php
