name,data_per_month,data_per_day,data_exhaustion_speed,call_minutes,text_messages,price_initial,mobile_carrier_id,cta_url
[종료]뉴천사요금제,100,,,0,0,550,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[BIG EVENT] 뉴음성천사,500,,,50,0,3300,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[BIG EVENT] 뉴데이터천사,900,,,30,0,3900,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[EVENT]허브데이터9,1300,,,0,0,9790,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[EVENT]허브데이터14,2000,,,0,0,14190,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
영구 요금제,0,,,0,0,7590,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
반값 요금제,0,,,0,0,6050,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
일반 요금제,0,,,0,0,12100,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[BIG EVENT]허브데이터9,1300,,,0,0,9790,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[BIG EVENT]허브데이터14,2000,,,0,0,14190,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[BIG EVENT] 뉴허브데이터14,2000,,,30,0,6990,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[BIG EVENT] 뉴허브데이터9,1300,,,30,0,4290,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
티플자녀100분 (6개월할인),0,,,100,100,1470,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
티플자녀150분 (6개월할인),0,,,150,150,4400,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[번개]티플자녀100분,0,,,100,100,2950,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[번개]티플자녀150분,0,,,150,150,4400,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
티플자녀500건 (6개월할인),0,,,100,500,2450,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
티플자녀1000건 (6개월할인),0,,,150,1000,4450,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
자율 24,0,,,0,0,26400,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
자율 34,0,,,0,0,37400,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
자율 44,0,,,0,0,48400,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
음성 74,0,,,850,0,81400,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM스마트19,500,,,120,50,20900,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM스마트24,700,,,150,50,23320,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM스마트29,900,,,180,50,27940,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM스마트34,1100,,,210,100,32560,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM스마트39,1300,,,240,100,37180,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM스마트49,1700,,,270,100,47080,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM스마트55,2000,,,300,100,52800,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
자율 캡 10,0,,,0,0,11000,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
자율 캡 17,0,,,0,0,18700,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
자율 캡 26,0,,,0,0,28600,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
자율 캡 30,0,,,0,0,33000,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[BIG EVENT]USIM 선택 100M 2,100,,,25,0,1450,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM 선택 100M 3,100,,,50,0,3900,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM 선택 100M 4,100,,,75,0,4900,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[BIG EVENT]USIM 선택 100M 5,100,,,100,0,2900,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM 선택 100M 7,100,,,150,0,7900,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM 선택 300M 3,300,,,25,0,3900,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
[BIG EVENT] USIM 선택 300M 4,300,,,50,0,2450,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM 선택 300M 5,300,,,75,0,5900,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM 선택 300M 6,300,,,100,0,6900,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM 선택 300M 8,300,,,150,0,8900,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM 선택 500M 4,500,,,25,0,4900,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
USIM 선택 500M 5,500,,,50,0,5900,20,https://www.tplusmobile.com/view/phoneChrgeSystem/getUsimChrgeSystemList.do
