name,data_per_month,data_per_day,data_exhaustion_speed,call_minutes,text_messages,price_initial,mobile_carrier_id,cta_url
5G 핀다이렉트e Xtra 1GB,1000,,,50,50,0,23,https://www.pindirectshop.com/pindirect-plan
5G 핀다이렉트e Xtra 2GB,2000,,,100,100,2200,23,https://www.pindirectshop.com/pindirect-plan
LTE 핀다이렉트Z,71000,,3000,-1,-1,36900,23,https://www.pindirectshop.com/pindirect-plan
LTE 핀다이렉트Z Mini,7000,,1000,-1,-1,12420,23,https://www.pindirectshop.com/pindirect-plan
LTE 핀다이렉트Z Max,150000,,5000,-1,-1,42900,23,https://www.pindirectshop.com/pindirect-plan
5G 핀다이렉트Z Speed,110000,,5000,-1,-1,47900,23,https://www.pindirectshop.com/pindirect-plan
LTE Z-Pass,71000,,3000,-1,-1,119900,23,https://www.pindirectshop.com/pindirect-plan
LTE Z Mini + 신한 쏠(SOL),7000,,1000,-1,-1,16900,23,https://www.pindirectshop.com/pindirect-plan
LTE Z + 신한 쏠(SOL),71000,,3000,-1,-1,35900,23,https://www.pindirectshop.com/pindirect-plan
LTE Z Max + 신한 쏠(SOL),150000,,5000,-1,-1,41900,23,https://www.pindirectshop.com/pindirect-plan
LTE DIGITAL DETOX 1GB 챌린지,1000,,,100,100,4900,23,https://www.pindirectshop.com/pindirect-plan
LTE DIGITAL DETOX 3GB 챌린지,3000,,,30,30,6900,23,https://www.pindirectshop.com/pindirect-plan
