name,data_per_month,call_minutes,text_messages,price_initial,mobile_carrier_id,carrier_url
스마일플러스(100분+1.5GB),0,100,100,3000,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=524&telecom=SKT
USIM 스마일 (200분/10GB),0,200,100,11000,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=614&telecom=SKT
스마일프리미엄2 7GB+,0,-1,-1,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=500&telecom=SKT
USIM 스마일 (200분/3GB+),0,200,100,13200,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=579&telecom=SKT
USIM 스마일 (200분/5GB+),0,200,100,15400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=580&telecom=SKT
스마일플러스(200분+1GB),0,200,100,3000,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=525&telecom=SKT
USIM 스마일 (500분/10GB),0,500,100,13200,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=615&telecom=SKT
후후 스마일 (200분/5GB+),0,200,100,15400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=582&telecom=SKT
후후 플러스(50분+1.8GB),0,50,50,3300,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=591&telecom=SKT
후후 플러스(100분+2.2GB),0,100,100,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=592&telecom=SKT
후후 플러스(100분+3GB),0,100,100,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=593&telecom=SKT
후후 플러스(200분+1.5GB),0,200,100,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=594&telecom=SKT
후후 플러스(500분+1GB),0,500,100,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=595&telecom=SKT
스마일플러스(200분+1.5GB),0,200,100,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=586&telecom=SKT
스마일플러스(500분+1GB),0,500,100,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=587&telecom=SKT
스마일플러스(500분+2GB),0,500,100,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=588&telecom=SKT
스마일플러스(200분+5GB),0,200,100,2200,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=589&telecom=SKT
스마일플러스(100분+6GB),0,100,100,2200,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=590&telecom=SKT
후후 플러스(500분+2GB),0,500,100,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=596&telecom=SKT
후후 플러스(200분+5GB),0,200,100,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=597&telecom=SKT
후후 플러스(100분+6GB),0,100,100,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=598&telecom=SKT
스마일플러스(50분+1.8GB),0,50,50,3300,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=583&telecom=SKT
스마일플러스(100분+2.2GB),0,100,100,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=584&telecom=SKT
스마일플러스(200분+600MB),0,200,100,3990,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=522&telecom=SKT
스마일플러스(250분+100MB),0,250,100,3990,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=523&telecom=SKT
스마일플러스(100분+3GB),0,100,100,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=585&telecom=SKT
USIM 알뜰데이터 15GB+,0,100,100,11000,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=499&telecom=SKT
후후 프리미엄2 7GB+,0,-1,-1,5230,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=558&telecom=SKT
USIM 안심데이터100GB,0,-1,-1,26400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=497&telecom=SKT
USIM 안심데이터11GB,0,-1,-1,19000,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=498&telecom=SKT
5G 스마일 플러스 (200분+5GB),0,200,100,7500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=429&telecom=SKT
5G 스마일 플러스 (300분+5GB),0,300,100,2900,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=430&telecom=SKT
5G 스마일 플러스 (100분+3GB),0,100,100,3500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=427&telecom=SKT
5G 스마일 플러스 (200분+3GB),0,200,100,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=428&telecom=SKT
5G 스마일 11GB,0,-1,-1,36300,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=442&telecom=SKT
5G 스마일 200GB,0,-1,-1,50000,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=443&telecom=SKT
USIM 스마일 5G망 (200분/10GB),0,200,100,11000,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=616&telecom=SKT
USIM 스마일 5G망 (500분/10GB),0,500,100,13200,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=617&telecom=SKT
USIM 스마트 7GB+,0,-1,-1,6600,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=532&telecom=LGU+
USIM 심플 (50분+1.8GB),0,50,50,2200,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=563&telecom=LGU+
USIM 스마트 (200분/5GB+),0,200,100,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=509&telecom=LGU+
USIM 스마트 심플 (100분+1.5GB),0,100,100,2200,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=609&telecom=LGU+
USIM 스마트 (200분/10GB+),0,200,100,11000,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=510&telecom=LGU+
USIM 스마트 (100분/1GB+),0,100,100,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=626&telecom=LGU+
슈퍼스마트톡 1GB+,0,300,300,6600,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=560&telecom=LGU+
슈퍼스마트톡 2GB+,0,300,300,8800,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=561&telecom=LGU+
슈퍼스마트톡 3GB+,0,300,300,11000,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=562&telecom=LGU+
USIM 심플 (100분+2.2GB),0,100,100,3300,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=564&telecom=LGU+
USIM 심플 (100분+3GB),0,100,100,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=565&telecom=LGU+
USIM 심플 (500분+2GB),0,500,100,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=568&telecom=LGU+
USIM 심플 (100분+6GB),0,100,100,6600,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=570&telecom=LGU+
슈퍼스마트톡,0,300,300,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=559&telecom=LGU+
