name,data_per_month,call_minutes,text_messages,price_initial,mobile_carrier_id,carrier_url
통화기본 데이터11GB+,11000,-1,-1,28600,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
LTE데이터선택10G,10000,-1,-1,25000,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
스노우맨데이터100GB+,100000,-1,-1,31600,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
모두기본데이터7GB+,7000,-1,-1,13600,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
통화기본 데이터7GB+,7000,-1,-1,17600,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
통화기본 데이터매일5GB+,-1,-1,-1,36300,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
통화기본 데이터6GB+,6000,-1,-1,15400,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
스노우맨 데이터3GB+,3000,-1,-1,49000,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
스노우맨 베이직,1400,-1,-1,27390,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
LTE데이터선택6G,6000,-1,-1,40590,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
LTE데이터선택300M,300000,-1,-1,22990,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
통화250분 데이터2.5GB+,2500,250,250,13200,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
통화200분 데이터5GB+,5000,200,100,17600,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
통화100분 데이터1GB+,1000,100,100,8800,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
스마트100M+,100000,100,100,8250,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
옐로우,250000,100,100,16500,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
그린,1000,100,100,20900,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
화이트,15000,100,100,35200,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
LTE데이터선택2G,2000,-1,-1,32890,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
LTE데이터선택1G,1000,-1,-1,27390,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
통화기본 데이터1.5GB,1500,-1,-1,9900,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
데이터친구4GB,4000,100,50,6600,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
스노우맨LTE10G 100분,10000,100,100,45650,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
스노우맨 친구4GB,4000,200,100,7700,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
스노우맨 친구5GB,5000,300,300,12100,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
음성450분,0,450,450,7700,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
스노우맨 데이터친구1G,1000,60,60,9900,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
실버,1000,60,60,9900,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
스노우맨 5G 슬림,10000,-1,-1,25000,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
5G스페셜(180GB+),180000,-1,-1,66000,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
5G스텐다드(150GB+5Mbps),150000,-1,-1,78900,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
5G라이트+(12GB+1Mbps),12000,-1,-1,53900,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
5G 데이터7.5GB,7500,120,120,22000,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
5G 데이터3.5GB,3500,120,120,9900,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
모두무한데이터11G+(요기요),11000,-1,-1,27200,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
모두무한데이터11G+(배달의민족),11000,-1,-1,27200,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
신한은행 데이터11G+(기프티쇼),11000,-1,-1,37400,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
신한은행 데이터15GB+/300분 (블라이스),15000,300,300,39600,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
신한은행 데이터7GB+ (Npay),7000,-1,-1,29700,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
통화기본 데이터1GB+,1000,-1,-1,22000,3,https://www.snowman.co.kr/portal/chageAdtnsvc/ppdChage/list
