name,data_per_month,data_per_day,call_minutes,text_messages,price_initial,mobile_carrier_id,carrier_url
LTE 유심 (1GB/60분),1000,0,60,100,3500,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=163&upPpnCd=U001&devKdCd=003
LTE 유심 (1.5GB/통화기본),1500,0,-1,-1,7700,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=197&upPpnCd=U001&devKdCd=003
LTE 유심 (1.5GB/150분),1500,0,150,100,5450,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=285&upPpnCd=U001&devKdCd=003
LTE 유심 (500MB/60분),500,0,60,50,1900,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=300&upPpnCd=U001&devKdCd=003
LTE 유심 (1GB+/통화기본),1000,0,-1,-1,9900,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=358&upPpnCd=U001&devKdCd=003
LTE 유심 (1GB+/100분),1000,0,100,100,7900,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=359&upPpnCd=U001&devKdCd=003
LTE 유심 (2.5GB+/200분),2500,0,200,100,9500,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=355&upPpnCd=U002&devKdCd=003
LTE 유심 (2.5GB/통화기본),2500,0,-1,-1,9400,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=198&upPpnCd=U002&devKdCd=003
LTE 유심 (2.5GB/200분),2500,0,200,100,5900,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=278&upPpnCd=U002&devKdCd=003
LTE 유심 (5GB+/200분),5000,0,200,100,13500,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=240&upPpnCd=U003&devKdCd=003
LTE 유심 (4.5GB+/통화기본),4500,0,-1,-1,14900,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=241&upPpnCd=U003&devKdCd=003
LTE 유심 (5GB/300분),5000,0,300,100,10120,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=276&upPpnCd=U003&devKdCd=003
LTE 유심 (4GB/통화기본),4000,0,-1,-1,9900,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=299&upPpnCd=U003&devKdCd=003
LTE 유심 (6GB+/통화기본),6000,0,-1,-1,16800,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=247&upPpnCd=U004&devKdCd=003
LTE 유심 (6GB/통화기본),6000,0,-1,-1,13200,2,https://www.uplusumobile.com/product/pric/pricDetail?seq=200&upPpnCd=U004&devKdCd=003
